"full_name","epoch","e","a","i","om","w","ma","per"
"  379P/Spacewatch",2458253.5,0.3380,3.526,12.39,184.03,31.16,293.99,2.42e+03
"  380P/PANSTARRS",2458416.5,0.3264,4.528,8.23,133.11,90.06,336.99,3.52e+03
"  381P/LINEAR-Spacewatch",2457213.5,0.6795,7.123,28.46,174.11,172.54,280.01,6.94e+03
"  382P/Larson",2457067.5,0.2762,6.052,7.87,181.67,175.51,181.17,5.44e+03
"  383P/Christensen",2454529.5,0.6115,3.497,11.87,213.63,128.07,83.15,2.39e+03
"  384P/Kowalski",2458600.5,0.6154,2.903,7.28,354.24,37.62,326.64,1.81e+03
"  385P/Hill",2456253.5,0.4023,4.275,16.86,357.16,44.33,82.92,3.23e+03
"  386P/PANSTARRS",2457295.5,0.4178,4.052,15.24,134.98,353.35,144.49,2.98e+03
"  387P/Boattini",2457120.5,0.7360,4.799,8.90,259.36,162.78,208.93,3.84e+03
"  388P/Gibbs",2456851.5,0.6189,5.239,23.88,37.16,42.47,209.16,4.38e+03
"  389P/Siding Spring",2456604.5,0.7047,5.62,160.07,218.81,249.49,193.76,4.87e+03
"  390P/Gibbs",2457472.5,0.7058,5.81,18.52,152.72,231.74,257.25,5.12e+03
"  391P/Kowalski",2454788.5,0.1196,4.679,21.28,124.76,186.88,26.50,3.7e+03
"  392P/LINEAR",2454304.5,0.6825,6.156,4.94,25.11,72.00,59.60,5.58e+03
"  393P/Spacewatch-Hill",2455912.5,0.1196,4.774,16.81,36.41,328.59,88.32,3.81e+03
"  394P/PANSTARRS",2458009.5,0.3691,4.339,8.53,98.14,54.50,271.86,3.3e+03
"  395P/Catalina-NEAT",2459669.5,0.3821,6.579,3.28,223.55,89.97,5.29,6.16e+03
"  396P/Leonard",2458247.5,0.4178,6.842,5.43,136.66,8.68,333.72,6.54e+03
"  397P/Lemmon",2458013.5,0.4006,3.86,11.02,8.97,12.49,229.19,2.77e+03
"  398P/Boattini",2459166.5,0.5826,3.128,11.02,127.46,320.23,352.21,2.02e+03
"  399P/PANSTARRS",2458086.5,0.4420,3.811,13.35,207.56,213.32,191.19,2.72e+03
"  400P/PANSTARRS",2458906.5,0.4090,3.56,10.93,176.41,238.71,308.81,2.45e+03
"  401P/McNaught",2454728.5,0.5820,5.693,12.87,0.10,310.24,62.79,4.96e+03
"  402P/LINEAR",2456341.5,0.4388,6.979,30.89,123.13,326.98,188.03,6.73e+03
"  403P/CATALINA",2457066.5,0.5037,5.408,12.32,163.85,277.85,200.04,4.59e+03
"  404P/Bressi",2459821.5,0.1329,4.77,9.74,260.35,167.85,320.17,3.8e+03
"  405P/Lemmon",2458091.5,0.6891,3.607,9.37,3.31,112.29,199.34,2.5e+03
"  406P/Gibbs",2454965.5,0.5740,3.44,1.43,8.81,353.07,96.73,2.33e+03
"  407P/PANSTARRS-Fuls",2458778.5,0.3850,3.455,4.90,80.84,92.34,344.37,2.35e+03
"  408P/Novichonok-Gerke",2458949.5,0.2713,4.783,19.24,189.80,224.81,275.10,3.82e+03
"  409P/LONEOS-Hill",2456836.5,0.7107,6.053,17.14,143.78,15.04,200.92,5.44e+03
"  410P/NEAT-LINEAR",2459145.5,0.5100,6.627,9.39,139.98,313.11,345.92,6.23e+03
"  411P/Christensen",2456589.5,0.5820,5.807,12.39,77.82,46.67,173.68,5.11e+03
"  412P/WISE",2456599.5,0.4809,3.107,8.94,0.86,155.96,254.16,2e+03
"  413P/Larson",2458130.5,0.4238,3.714,15.98,39.06,185.90,183.15,2.61e+03
"  414P/STEREO",2459905.5,0.8117,2.794,23.39,257.79,210.71,140.52,1.71e+03
"  415P/Tenagra",2458426.5,0.1952,4.115,31.79,160.33,346.45,261.39,3.05e+03
"  416P/Scotti",2457363.5,0.4557,4.005,3.37,355.80,134.67,126.94,2.93e+03
"  417P/NEOWISE",2458510.5,0.5546,3.35,8.13,111.36,129.40,228.87,2.24e+03
"  418P/LINEAR",2455962.5,0.6637,5.102,5.78,277.86,306.89,56.18,4.21e+03
"  419P/PANSTARRS",2457915.5,0.2785,3.524,2.80,40.43,187.26,121.97,2.42e+03
"  420P/Hill",2456870.5,0.4943,5.513,14.46,174.03,157.61,141.51,4.73e+03
"  421P/McNaught",2455509.5,0.6754,5.08,10.09,55.68,259.90,36.66,4.18e+03
"  422P/Christensen",2456642.5,0.5061,6.262,39.59,36.09,305.99,173.56,5.72e+03
"  423P/Lemmon",2458898.5,0.1201,6.158,8.35,33.35,80.71,322.39,5.58e+03
"  424P/La Sagra",2457510.5,0.6928,4.401,8.64,51.62,312.45,144.60,3.37e+03
"  425P/Kowalski",2457960.5,0.5424,6.34,16.43,210.34,200.22,266.29,5.83e+03
"  426P/PANSTARRS",2458779.5,0.1608,3.187,17.77,280.52,119.40,113.21,2.08e+03
"  427P/ATLAS",2458079.5,0.3130,3.171,11.85,252.39,99.94,20.42,2.06e+03
"  428P/Gibbs",2457963.5,0.5190,3.483,8.51,299.32,36.94,149.70,2.37e+03
"  429P/LINEAR-Hill",2455363.5,0.5067,3.493,7.75,325.15,72.07,89.11,2.38e+03
"  430P/Scotti",2456799.5,0.4997,3.107,4.47,54.69,94.57,224.18,2e+03
"  431P/Scotti",2457972.5,0.4880,3.442,22.67,203.27,199.44,107.67,2.33e+03
"  432P/PANSTARRS",2459211.5,0.2425,3.037,10.07,239.21,105.38,314.18,1.93e+03
"  434P/Tenagra",2458395.5,0.2717,4.149,6.32,289.00,126.93,229.88,3.09e+03
"  435P/PANSTARRS",2458886.5,0.3189,3.018,18.89,98.56,244.33,259.02,1.91e+03
"  436P/Garradd",2455662.5,0.6718,5.862,20.21,87.40,283.07,89.67,5.18e+03
"  437P/Lemmon-PANSTARRS",2458025.5,0.2523,4.56,3.69,245.90,206.63,179.13,3.56e+03
"  438P/Christensen",2454687.5,0.4224,3.824,8.34,260.60,58.40,160.11,2.73e+03
"  439P/LINEAR",2455214.5,0.5098,3.359,6.96,59.10,337.65,57.49,2.25e+03
"  440P/Kobayashi",2456962.5,0.7611,8.566,12.38,329.03,183.29,253.76,9.16e+03
"  441P/PANSTARRS",2459792.5,0.1956,4.135,2.57,143.61,178.77,227.03,3.07e+03
"  442P/McNaught",2458350.5,0.5316,4.971,6.05,32.03,310.97,229.99,4.05e+03
"  443P/PANSTARRS-Christensen",2459288.5,0.2845,4.132,19.89,108.96,145.02,292.68,3.07e+03
"  444P/WISE-PANSTARRS",2459649.5,0.5703,3.428,22.12,89.41,170.89,341.15,2.32e+03
"  445P/Lemmon-PANSTARRS",2458476.5,0.4125,4.058,1.09,126.55,213.73,199.13,2.99e+03
"  446P/McNaught",2457030.5,0.6467,4.581,16.57,336.43,344.68,88.09,3.58e+03
"  447P/Sheppard-Tholen",2457897.5,0.1807,5.695,7.41,302.83,95.09,222.54,4.96e+03
"  448P/PANSTARRS",2458597.5,0.4190,3.63,12.15,161.78,219.03,184.28,2.53e+03
"  449P/Leonard",2459142.5,0.4790,3.598,15.46,242.57,176.65,355.00,2.49e+03
"  450P/LONEOS",2458143.5,0.3114,7.936,10.56,124.90,21.73,215.26,8.17e+03
"  451P/Christensen",2455207.5,0.5574,6.317,26.49,301.04,186.90,67.65,5.8e+03
"  452P/Sheppard-Jewitt",2457673.5,0.4279,7.271,6.43,123.80,37.30,240.09,7.16e+03
"  453P/WISE-Lemmon",2459864.5,0.5824,5.457,27.07,42.90,70.82,349.02,4.66e+03
"  454P/PANSTARRS",2459428.5,0.3615,4.208,19.81,54.61,19.83,319.19,3.15e+03
"  455P/PANSTARRS",2457854.5,0.3042,3.155,14.14,146.21,237.94,341.77,2.05e+03
"  456P/PANSTARRS",2459413.5,0.1187,3.165,16.96,243.22,234.67,119.48,2.06e+03
"  457P/Lemmon-PANSTARRS",2458952.5,0.1198,2.646,5.22,176.01,104.95,355.13,1.57e+03
"  458P/Jahn",2458930.5,0.3150,3.861,13.61,1.63,104.36,236.34,2.77e+03
"  459P/Catalina",2458483.5,0.5227,3.352,13.72,272.03,189.89,112.68,2.24e+03
"  460P/PANSTARRS",2457495.5,0.6663,3.022,18.92,180.53,351.90,6.09,1.92e+03
"  461P/WISE",2458948.5,0.5704,3.139,18.41,194.40,174.78,263.58,2.03e+03
"  462P/LONEOS-PANSTARRS",2459143.5,0.5779,4.888,7.03,322.92,4.42,300.68,3.95e+03
