name,designation,full_name,spkid,epoch,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,gm_km3_s2,mass_kg,diameter_km,radius_km,H,neo,pha,orbit_class
Harmonia,40,    40 Harmonia (A856 FA),20000040,2026-09-08 12:00:00,-348145882.4236699,47101925.49049952,48206888.11951152,-3.565121446212794,-17.16909227641634,-7.045915853016155,,,111.251,55.6255,6.57,N,N,MBA
Daphne,41,    41 Daphne (A856 KA),20000041,2026-09-08 12:00:00,-269128802.677021,-143282033.7691359,-16539915.21513391,12.29864448464359,-19.77568316621584,-2.819934398540627,,,205.495,102.7475,7.58,N,N,MBA
Isis,42,    42 Isis (A856 KB),20000042,2026-09-08 12:00:00,-340617630.1314299,238294862.1118101,163233194.2383912,-9.661270790393527,-11.19023550775083,-3.479163823404596,,,110.997,55.4985,7.69,N,N,MBA
Ariadne,43,    43 Ariadne (A857 GA),20000043,2026-09-08 12:00:00,-272759381.348245,236050638.7030064,82911501.55297883,-10.37772134530778,-12.93810580682358,-6.205635620805456,,,71.34,35.67,7.92,N,N,MBA
Nysa,44,    44 Nysa (A857 KA),20000044,2026-09-08 12:00:00,-330894114.3159622,-103754207.3641389,-22597476.86646327,3.201409483079233,-18.33923455625812,-7.197768485541387,,,70.64,35.32,6.75,N,N,MBA
Eugenia,45,    45 Eugenia (A857 MA),20000045,2026-09-08 12:00:00,-295296411.1654277,263736601.6853487,104102824.4546625,-11.30414593950316,-13.44957220223244,-3.595881818273677,,,202.327,101.1635,7.74,N,N,MBA
Hestia,46,    46 Hestia (A857 QA),20000046,2026-09-08 12:00:00,304784919.9643298,71748800.12515913,27896619.22802809,-4.58077961753123,20.25308502929578,7.806408382025691,,,131.471,65.7355,8.52,N,N,MBA
Aglaja,47,    47 Aglaja (A857 RA),20000047,2026-09-08 12:00:00,-469938843.8646989,-8316002.897146486,-2247127.66778117,1.858258663054058,-13.9942890374237,-7.578008198086595,,,168.174,84.087,8.14,N,N,MBA
Doris,48,    48 Doris (A857 SA),20000048,2026-09-08 12:00:00,-25162616.78363578,-474422698.8125994,-144338922.6003187,15.82757104768398,-0.5632989993295563,-0.05826782364468618,,,216.473,108.2365,7.10,N,N,MBA
Pales,49,    49 Pales (A857 SB),20000049,2026-09-08 12:00:00,243602756.3830912,237040064.3459955,121345426.1198972,-15.15883675927525,13.76286709486748,5.305493961445239,,,166.252,83.126,7.99,N,N,MBA
Virginia,50,    50 Virginia (A857 TA),20000050,2026-09-08 12:00:00,-50265076.05583862,328031340.976821,123698146.3970953,-20.15375570912962,2.384897453228688,1.019194323759033,,,84.074,42.037,9.43,N,N,MBA
Nemausa,51,    51 Nemausa (A858 BA),20000051,2026-09-08 12:00:00,128436262.5910098,-328889886.5933594,-80682756.48549566,18.10848897430373,5.526032537577307,1.094402118123303,,,138.159,69.0795,7.72,N,N,MBA
Europa,52,    52 Europa (A858 CA),20000052,2026-09-08 12:00:00,-195629579.9881706,334826380.7450346,134779767.4624302,-16.657698557313,-8.920624975350458,-1.227970608068446,,,303.918,151.959,6.65,N,N,MBA
Kalypso,53,    53 Kalypso (A858 GA),20000053,2026-09-08 12:00:00,203426964.158102,246968902.1084887,74688010.52810442,-18.50218355402464,10.16296384146371,4.610525166439676,,,97.262,48.631,8.88,N,N,MBA
Alexandra,54,    54 Alexandra (A858 RA),20000054,2026-09-08 12:00:00,-434818844.2348979,90417351.28334583,-21668332.55242484,0.4319812924031518,-14.01375447369459,-8.539036094776353,,,160.12,80.06,7.94,N,N,MBA
Pandora,55,    55 Pandora (A858 RB),20000055,2026-09-08 12:00:00,-320481784.8561577,-290329581.1922642,-162606933.8243814,12.36615688719873,-8.516173151391284,-5.337330653634603,,,84.794,42.397,7.82,N,N,MBA
Melete,56,    56 Melete (A857 RB),20000056,2026-09-08 12:00:00,-126989949.2310037,443468983.3966016,119273906.0142412,-14.34154132650266,-2.723053323240912,-1.224638321741672,,,121.333,60.6665,8.51,N,N,MBA
Mnemosyne,57,    57 Mnemosyne (A859 SA),20000057,2026-09-08 12:00:00,198769452.3827124,-444353583.4602348,-53323388.36410821,13.97630148496073,7.790563814247109,2.440131377498553,,,112.59,56.295,6.93,N,N,MBA
Concordia,58,    58 Concordia (A860 FA),20000058,2026-09-08 12:00:00,416872779.1822487,64444785.80498526,9038521.283452023,-2.555520626169549,16.20992723325863,5.545828813656231,,,106.517,53.2585,9.03,N,N,MBA
Elpis,59,    59 Elpis (A860 RA),20000059,2026-09-08 12:00:00,173090948.7453263,313996932.2233199,78848160.12950003,-16.80860951122868,10.08961502752206,3.148009101946156,,,165.119,82.5595,8.08,N,N,MBA
Echo,60,    60 Echo (A860 RB),20000060,2026-09-08 12:00:00,212644578.7241413,-341264460.2068074,-120811600.469513,13.36023027434045,8.568626222151389,3.281681618784284,,,43.218,21.609,8.63,N,N,MBA
Danae,61,    61 Danae (A860 RC),20000061,2026-09-08 12:00:00,130068214.3516427,300077100.6938039,274584365.3233191,-15.84905715972648,7.702665789075131,3.522685187662171,,,85.937,42.9685,7.73,N,N,MBA
Erato,62,    62 Erato (A860 RD),20000062,2026-09-08 12:00:00,301415776.1150992,231186896.1454192,83713948.88778141,-12.73947138831349,14.04627932916059,6.158272557253394,,,106.921,53.4605,8.89,N,N,MBA
Ausonia,63,    63 Ausonia (A861 CA),20000063,2026-09-08 12:00:00,206907051.2310971,288667361.7224868,167716688.3959626,-13.9956881858952,9.347537470854808,4.523635252486334,,,116.044,58.022,7.15,N,N,MBA
Angelina,64,    64 Angelina (A861 EA),20000064,2026-09-08 12:00:00,322514745.5797201,209663902.6788004,100794051.468202,-12.50897103227102,12.28058567414513,5.290919588433161,,,58.292,29.146,7.72,N,N,MBA
Cybele,65,    65 Cybele (A861 EB),20000065,2026-09-08 12:00:00,-416125665.5215476,-200091103.6826618,-62061137.80889123,9.340418290105864,-13.92264440456191,-5.384192284800482,,,237.26,118.63,6.83,N,N,OMB
Maja,66,    66 Maja (A861 GA),20000066,2026-09-08 12:00:00,242206820.5618527,-285477786.586369,-143870898.9107756,12.32469562354704,11.91258742713655,5.832769717382523,,,71.82,35.91,9.53,N,N,MBA
Asia,67,    67 Asia (A861 HA),20000067,2026-09-08 12:00:00,-375753313.2428668,-68769205.80018105,-37899241.65657268,6.66966228619601,-16.03955531925434,-4.889173997863158,,,56.309,28.1545,8.37,N,N,MBA
Leto,68,    68 Leto (A861 HB),20000068,2026-09-08 12:00:00,-219578159.0555316,338032384.160727,213138082.5500396,-15.18024459079149,-5.493514196729557,-1.388350772393708,,,122.509,61.2545,6.90,N,N,MBA
Hesperia,69,    69 Hesperia (A861 HC),20000069,2026-09-08 12:00:00,-301626657.2909895,-346350694.7770327,-96134298.41841015,10.69566548098266,-12.03883407112663,-3.058697082646407,,,138.13,69.065,7.21,N,N,MBA
Panopaea,70,    70 Panopaea (A861 JA),20000070,2026-09-08 12:00:00,-222155.9271450902,-280396496.0632571,-170414957.7640887,21.40585020206163,3.245788533791478,-1.787640937357868,,,127.911,63.9555,8.16,N,N,MBA
Niobe,71,    71 Niobe (A861 PA),20000071,2026-09-08 12:00:00,441457794.8060773,-57387948.89757144,117251940.1813963,0.9466980561622096,11.91697290536919,10.55820053835474,,,83.42,41.71,7.23,N,N,MBA
Feronia,72,    72 Feronia (A861 KA),20000072,2026-09-08 12:00:00,286096654.3148924,141834350.6546318,61189062.05504835,-7.613007179207814,18.21900199161148,5.792631070370391,,,74.966,37.483,9.08,N,N,MBA
