name,epoch,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,gm_km3_s2,mass_kg,radius_km
Deimos,2026-09-08 12:00:00,63284466.28268711,199743852.2379262,89947088.23679732,-21.68072902369526,6.896034715369004,3.384857641143245,9.62e-05,1441349654645431.0,6.2
Io,2026-09-08 12:00:00,-503089077.3875658,558379473.2801203,251571612.8902347,-8.690830509613997,-22.6829631328646,-10.20239965224265,5959.916,8.929649551263803e+22,1821.6
Europa,2026-09-08 12:00:00,-502909819.8465202,558982686.3921937,251856580.1625976,-22.99456732218894,-11.60066633716075,-5.191904610676837,3202.739,4.7986140868705335e+22,1560.8
Ganymede,2026-09-08 12:00:00,-501632736.2184179,558168705.7395426,251493844.4647132,-7.571896572747643,2.367029836532713,1.793748807750997,9887.834,1.4814788067662527e+23,2634.1
Callisto,2026-09-08 12:00:00,-502774355.6066266,560111662.3482009,252393219.6202661,-18.4567637412328,-7.466139566261374,-3.086189405797228,7179.289,1.0756617173336529e+23,2410.3
Mimas,2026-09-08 12:00:00,1389441844.72648,248748508.6326292,42813331.29468235,-15.51137981889954,13.64820396154516,4.154023757618262,2.5023,3.749157214988838e+19,198.2
Enceladus,2026-09-08 12:00:00,1389258632.802012,248777164.8104053,42824346.53693042,-13.00451130540148,2.393638799126148,5.100073694347278,7.21,1.080263098751929e+20,252.1
Tethys,2026-09-08 12:00:00,1389666387.095636,248640700.2074459,42804545.73354527,-4.905631239462745,19.74562716090433,3.045865658541531,41.21,6.174430277332455e+20,531.1
Dione,2026-09-08 12:00:00,1389576475.410952,248891506.2790376,42788735.58355383,-10.75745938584859,14.01094187635542,4.051923453952845,73.116,1.0954856689090991e+21,561.4
Rhea,2026-09-08 12:00:00,1389771254.985803,248920700.4924302,42769302.20537278,-7.8595365665789,15.07641735506691,3.678765502845704,153.942,2.306489070014833e+21,763.8
Titan,2026-09-08 12:00:00,1388641285.15782,247590341.7692228,42960317.69873172,2.262024526957374,5.529603621407866,3.523936643975405,8978.14,1.3451807680206164e+23,2574.73
Hyperion,2026-09-08 12:00:00,1389319897.39218,250168189.7259662,42743882.36768297,-6.8512453162959,8.307031023150824,4.114221111477425,0.372,5.57361820715281e+18,135.0
Iapetus,2026-09-08 12:00:00,1385834360.130279,248992035.0583291,43612630.24914938,-2.715251491608905,5.637480565841727,3.231486224629914,120.42,1.8042341518960791e+21,734.5
Phoebe,2026-09-08 12:00:00,1399813758.99635,243917738.8804553,39405942.05505596,-3.308021639923607,7.321298072467997,3.245444595460099,0.552,8.270530242871912e+18,106.5
Ariel,2026-09-08 12:00:00,1347585011.988333,2367622346.538688,1017708606.442679,-10.80315195839431,2.841403385777341,4.04423213385297,86.4,1.294517777145169e+21,578.9
Umbriel,2026-09-08 12:00:00,1347810213.21644,2367591926.272506,1017636571.453155,-9.971656960835283,4.020996030894191,-0.8841620399949115,85.0,1.2735417946451314e+21,584.7
Titania,2026-09-08 12:00:00,1347951520.758781,2367412063.312428,1018169080.226337,-3.375873504106361,2.632569675168094,-1.219639402523396,235.5,3.528459913399158e+21,788.9
Oberon,2026-09-08 12:00:00,1347141031.81973,2367724955.098518,1017694211.384895,-7.184318228509539,2.019754104883387,4.106346212794982,192.4,2.882699309290862e+21,761.4
Miranda,2026-09-08 12:00:00,1347745551.81093,2367566032.681204,1017755530.74965,-11.35189328670099,5.063471697653489,-2.037106214859332,4.4,6.592451642868915e+19,235.8
Triton,2026-09-08 12:00:00,4464124174.329041,221444031.0155934,-20799868.04980266,-3.63521143338021,2.367315322467261,1.21689939929337,1427.6,2.138950901218105e+22,1353.4
Nereid,2026-09-08 12:00:00,4463970277.355392,229376410.6049086,-16418359.73033717,-0.7331403143734503,4.797147855240867,1.913346199692011,0.004,5.993137857153559e+16,170.0
Charon,2026-09-08 12:00:00,2977366294.453479,-3879738895.73787,-2107832288.400203,4.534569479846823,2.200232652134029,-0.5604829182766715,105.88,1.586383590788547e+21,606.0
Styx,2026-09-08 12:00:00,2977402133.690466,-3879699775.132922,-2107794155.596987,4.718370788556691,2.334684521214326,-0.8081788668456569,0.001,1.4982844642883898e+16,5.0
Nix,2026-09-08 12:00:00,2977365562.937222,-3879746565.244217,-2107880898.09315,4.566664103913643,2.215434850972494,-0.6548242132068889,0.003,4.49485339286517e+16,23.0
Kerberos,2026-09-08 12:00:00,2977378778.128298,-3879734384.918628,-2107876471.095874,4.56051031967575,2.205892747032016,-0.6883219514210909,0.0001,1498284464288389.8,6.0
Hydra,2026-09-08 12:00:00,2977343617.035936,-3879759363.373695,-2107827685.826191,4.619251446243719,2.282178525758098,-0.5396165603881623,0.001,1.4982844642883898e+16,19.5
