spkid,full_name,pdes,name,kind,neo,pha,class,H,diameter_km,gm_km3_s2
20023338, 23338 (2809 P-L),23338,,an,N,N,MBA,15.11,,
20023339, 23339 (3025 P-L),23339,,an,N,N,MBA,14.71,7.074,
20023340, 23340 (3092 P-L),23340,,an,N,N,MBA,14.92,4.262,
20023341, 23341 (3503 P-L),23341,,an,N,N,MBA,14.49,5.499,
20023342, 23342 (4086 P-L),23342,,an,N,N,MBA,16.08,,
20023343, 23343 (4238 P-L),23343,,an,N,N,MBA,15.66,,
20023344, 23344 (4612 P-L),23344,,an,N,N,MBA,15.53,2.424,
20023345, 23345 (4619 P-L),23345,,an,N,N,MBA,15.88,,
20023346, 23346 (4695 P-L),23346,,an,N,N,MBA,15.34,,
20023347, 23347 (5567 P-L),23347,,an,N,N,MBA,15.11,,
20023348, 23348 (6046 P-L),23348,,an,N,N,MBA,14.88,6.781,
20023349, 23349 (6741 P-L),23349,,an,N,N,MBA,15.00,2.811,
20023350, 23350 (6779 P-L),23350,,an,N,N,MBA,14.70,3.156,
20023351, 23351 (6818 P-L),23351,,an,N,N,MBA,14.62,7.120,
20023352, 23352 (7585 P-L),23352,,an,N,N,MBA,15.69,,
20023353, 23353 (9518 P-L),23353,,an,N,N,MBA,14.47,,
20023354, 23354 (9547 P-L),23354,,an,N,N,MBA,14.77,3.074,
20023355, 23355 Elephenor (9602 P-L),23355,Elephenor,an,N,N,TJN,12.02,,
20023356, 23356 (1194 T-1),23356,,an,N,N,MBA,14.30,,
20023357, 23357 (1285 T-1),23357,,an,N,N,MBA,15.74,,
20023358, 23358 (2194 T-1),23358,,an,N,N,MBA,15.83,4.053,
20023359, 23359 (2301 T-1),23359,,an,N,N,MBA,14.82,2.864,
20023360, 23360 (3101 T-1),23360,,an,N,N,MBA,15.63,4.941,
20023361, 23361 (3243 T-1),23361,,an,N,N,MBA,15.38,,
20023362, 23362 (3248 T-1),23362,,an,N,N,MBA,17.00,,
20023363, 23363 (3770 T-1),23363,,an,N,N,MBA,15.41,,
20023364, 23364 (4060 T-1),23364,,an,N,N,MBA,16.25,,
20023365, 23365 (4217 T-1),23365,,an,N,N,MBA,15.63,,
20023366, 23366 (1043 T-2),23366,,an,N,N,MBA,15.73,,
20023367, 23367 (1173 T-2),23367,,an,N,N,MBA,14.55,,
20023368, 23368 (1196 T-2),23368,,an,N,N,MBA,14.87,,
20023369, 23369 (1295 T-2),23369,,an,N,N,MBA,14.51,4.240,
20023370, 23370 (1329 T-2),23370,,an,N,N,MBA,14.20,,
20023371, 23371 (1364 T-2),23371,,an,N,N,MBA,14.74,3.401,
20023372, 23372 (1405 T-2),23372,,an,N,N,MBA,16.12,,
20023373, 23373 (2133 T-2),23373,,an,N,N,MBA,15.24,2.819,
20023374, 23374 (2207 T-2),23374,,an,N,N,MBA,14.45,7.699,
20023375, 23375 (2234 T-2),23375,,an,N,N,MBA,14.26,7.539,
20023376, 23376 (2239 T-2),23376,,an,N,N,MBA,14.69,,
20023377, 23377 (3035 T-2),23377,,an,N,N,MBA,15.61,,
20023378, 23378 (3043 T-2),23378,,an,N,N,MBA,15.74,,
20023379, 23379 (3159 T-2),23379,,an,N,N,MBA,14.47,3.552,
20023380, 23380 (3197 T-2),23380,,an,N,N,MBA,14.80,4.166,
20023381, 23381 (3363 T-2),23381,,an,N,N,MBA,15.14,,
20023382, 23382 Epistrophos (4536 T-2),23382,Epistrophos,an,N,N,TJN,12.07,23.995,
20023383, 23383 Schedios (5146 T-2),23383,Schedios,an,N,N,TJN,11.92,,
20023384, 23384 (5163 T-2),23384,,an,N,N,MBA,13.87,7.177,
20023385, 23385 (5168 T-2),23385,,an,N,N,MBA,14.25,5.348,
20023386, 23386 (5179 T-2),23386,,an,N,N,MBA,14.59,,
20023387, 23387 (1039 T-3),23387,,an,N,N,MBA,14.71,6.200,
20023388, 23388 (1168 T-3),23388,,an,N,N,MBA,14.70,3.796,
20023389, 23389 (1181 T-3),23389,,an,N,N,MBA,14.45,5.871,
20023390, 23390 (1186 T-3),23390,,an,N,N,MBA,14.33,,
20023391, 23391 (2065 T-3),23391,,an,N,N,MBA,16.21,1.664,
20023392, 23392 (2416 T-3),23392,,an,N,N,MBA,14.03,4.962,
20023393, 23393 (3283 T-3),23393,,an,N,N,MBA,15.58,,
20023394, 23394 (4340 T-3),23394,,an,N,N,MBA,15.25,,
20023395, 23395 (5018 T-3),23395,,an,N,N,MBA,14.28,4.188,
20023396, 23396 (5112 T-3),23396,,an,N,N,MBA,14.83,3.522,
20023397, 23397 (5122 T-3),23397,,an,N,N,MBA,15.37,5.534,
20023398, 23398 (5124 T-3),23398,,an,N,N,MBA,14.79,,
20023399, 23399 (5132 T-3),23399,,an,N,N,MBA,13.82,,
20023400, 23400 (A913 CF),23400,,an,N,N,MBA,14.91,4.215,
20023401, 23401 Brodskaya (1968 OE1),23401,Brodskaya,an,N,N,MBA,16.04,,
20023402, 23402 Turchina (1969 TO2),23402,Turchina,an,N,N,MBA,13.63,10.047,
20023403, 23403 Boudewijnbuch (1971 FB),23403,Boudewijnbuch,an,N,N,MBA,15.27,4.351,
20023404, 23404 Bomans (1972 RG),23404,Bomans,an,N,N,MBA,14.15,3.617,
20023405, 23405 Nisyros (1973 SB1),23405,Nisyros,an,N,N,OMB,13.07,15.032,
20023406, 23406 Kozlov (1977 QO3),23406,Kozlov,an,N,N,MBA,14.56,3.607,
20023407, 23407 (1977 RG19),23407,,an,N,N,MBA,16.21,1.447,
20023408, 23408 Beijingaoyun (1977 TU3),23408,Beijingaoyun,an,N,N,MBA,12.76,16.544,
20023409, 23409 Derzhavin (1978 QF1),23409,Derzhavin,an,N,N,MBA,14.84,,
20023410, 23410 Vikuznetsov (1978 QK2),23410,Vikuznetsov,an,N,N,MBA,15.29,2.973,
20023411, 23411 Bayanova (1978 ST7),23411,Bayanova,an,N,N,MBA,14.22,3.560,
20023412, 23412 (1978 UN5),23412,,an,N,N,MBA,14.88,3.484,
20023413, 23413 (1978 VQ9),23413,,an,N,N,MBA,13.72,4.939,
20023414, 23414 (1979 MP1),23414,,an,N,N,MBA,15.08,5.347,
20023415, 23415 (1979 MQ3),23415,,an,N,N,MBA,14.52,5.143,
20023416, 23416 (1979 MU4),23416,,an,N,N,MBA,15.13,,
20023417, 23417 (1979 MU6),23417,,an,N,N,MBA,14.40,3.436,
20023418, 23418 Malmback (1979 QM3),23418,Malmback,an,N,N,MBA,16.03,,
20023419, 23419 (1980 FQ1),23419,,an,N,N,MBA,14.01,6.485,
20023420, 23420 (1981 DO),23420,,an,N,N,MBA,14.81,2.696,
20023421, 23421 (1981 DR),23421,,an,N,N,MBA,14.49,7.939,
20023422, 23422 (1981 DF1),23422,,an,N,N,MBA,14.12,5.872,
20023423, 23423 (1981 EA3),23423,,an,N,N,MBA,15.92,,
20023424, 23424 (1981 EU9),23424,,an,N,N,MBA,15.35,3.351,
20023425, 23425 (1981 EL12),23425,,an,N,N,MBA,16.21,,
20023426, 23426 (1981 EB16),23426,,an,N,N,MBA,15.84,,
20023427, 23427 (1981 EF16),23427,,an,N,N,MBA,14.69,7.104,
20023428, 23428 (1981 EL18),23428,,an,N,N,MBA,15.23,2.178,
20023429, 23429 (1981 EO35),23429,,an,N,N,MBA,15.73,,
20023430, 23430 (1981 EO38),23430,,an,N,N,MBA,14.97,5.074,
20023431, 23431 (1981 EA45),23431,,an,N,N,MBA,16.41,,
20023432, 23432 (1981 EF47),23432,,an,N,N,MBA,15.29,4.318,
20023433, 23433 (1981 UU22),23433,,an,N,N,MBA,13.55,12.746,
20023434, 23434 (1981 UB23),23434,,an,N,N,MBA,13.75,4.646,
20023435, 23435 (1981 UZ24),23435,,an,N,N,MBA,14.62,3.655,
20023436, 23436 Alekfursenko (1982 UF8),23436,Alekfursenko,an,N,N,MBA,13.94,8.434,
20023437, 23437 Sima (1984 SJ1),23437,Sima,an,N,N,MBA,14.56,2.690,
20023438, 23438 (1984 SZ5),23438,,an,N,N,MBA,14.83,2.243,
20023439, 23439 (1986 PP),23439,,an,N,N,MBA,14.96,6.733,
20023440, 23440 (1986 QH1),23440,,an,N,N,MBA,13.54,10.137,
20023441, 23441 (1986 QW1),23441,,an,N,N,MBA,14.02,,
20023442, 23442 (1986 QJ2),23442,,an,N,N,MBA,13.46,10.800,
20023443, 23443 Kikwaya (1986 TG1),23443,Kikwaya,an,N,N,MBA,13.20,7.983,
20023444, 23444 Kukucin (1986 TV6),23444,Kukucin,an,N,N,MBA,13.72,5.227,
20023445, 23445 (1987 QY7),23445,,an,N,N,MBA,13.51,6.991,
20023446, 23446 (1987 SJ2),23446,,an,N,N,MBA,14.32,,
20023447, 23447 (1987 VG),23447,,an,N,N,MBA,14.66,,
20023448, 23448 Yasudatakeshi (1988 BG),23448,Yasudatakeshi,an,N,N,MBA,13.19,6.146,
20023449, 23449 (1988 BG5),23449,,an,N,N,MBA,14.33,4.030,
20023450, 23450 Birkenstock (1988 CB4),23450,Birkenstock,an,N,N,MBA,15.61,2.923,
20023451, 23451 (1988 CO7),23451,,an,N,N,MBA,15.44,2.250,
20023452, 23452 Drew (1988 QF),23452,Drew,an,N,N,IMB,15.33,,
20023453, 23453 (1988 QR),23453,,an,N,N,MBA,14.29,10.020,
20023454, 23454 (1988 XU2),23454,,an,N,N,MBA,13.68,5.456,
20023455, 23455 Fumi (1988 XY4),23455,Fumi,an,N,N,MBA,13.08,8.665,
20023456, 23456 (1989 DB),23456,,an,N,N,MBA,14.16,3.909,
20023457, 23457 Beiderbecke (1989 GV6),23457,Beiderbecke,an,N,N,MBA,13.94,4.379,
20023458, 23458 (1989 RY1),23458,,an,N,N,MBA,13.76,7.187,
20023459, 23459 (1989 ST4),23459,,an,N,N,MBA,13.99,9.047,
20023460, 23460 (1989 SX9),23460,,an,N,N,MBA,15.43,,
20023461, 23461 (1989 TM4),23461,,an,N,N,MBA,14.15,5.153,
20023462, 23462 (1989 TU4),23462,,an,N,N,MBA,15.16,3.130,
20023463, 23463 (1989 TX11),23463,,an,N,N,TJN,11.60,26.310,
20023464, 23464 (1989 TN15),23464,,an,N,N,MBA,15.47,,
